               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057483,            0.022861,            0.027224,             0.58532,             0.68461,             0.65379,              0.3958,            0.032385,           0.0073457,            0.011287,            0.070155,           0.0033161,           0.0033161
                   1,            0.039779,            0.016012,            0.012541,             0.70873,             0.72347,             0.77173,             0.48217,             0.03019,           0.0072492,            0.006638,            0.040073,           0.0065671,           0.0065671
                   2,            0.034729,             0.01459,           0.0099515,             0.64559,             0.67768,               0.714,             0.42821,            0.028989,           0.0079258,           0.0071179,           0.0099084,           0.0097357,           0.0097357
                   3,            0.032136,              0.0145,           0.0097844,             0.53349,             0.41763,             0.43585,              0.2257,             0.03778,            0.010127,           0.0090803,           0.0096288,           0.0096288,           0.0096288
                   4,            0.030087,            0.014081,           0.0089806,             0.81467,              0.8427,              0.8768,             0.60726,            0.023315,           0.0060094,           0.0029878,           0.0096288,           0.0096288,           0.0096288
                   5,             0.02917,            0.013744,           0.0083969,             0.75407,             0.77923,             0.82204,             0.54723,            0.024602,            0.006636,           0.0041948,            0.009505,            0.009505,            0.009505
                   6,            0.028219,            0.013559,           0.0080774,             0.83313,             0.84347,             0.89565,             0.64567,            0.022214,           0.0057834,           0.0028649,           0.0093813,           0.0093813,           0.0093813
                   7,            0.027457,            0.013471,           0.0081005,             0.79985,             0.79031,             0.83756,             0.55753,            0.025846,           0.0064118,           0.0039149,           0.0092575,           0.0092575,           0.0092575
                   8,            0.027127,            0.013263,           0.0080102,             0.81555,              0.8419,             0.89003,              0.6372,            0.021659,           0.0057858,           0.0034056,           0.0091337,           0.0091337,           0.0091337
                   9,            0.026719,            0.013168,           0.0077404,             0.83279,             0.86537,             0.90107,             0.66406,            0.021186,           0.0055251,           0.0026228,             0.00901,             0.00901,             0.00901
                  10,            0.026504,            0.013056,           0.0077038,             0.83958,             0.85124,             0.90237,             0.65445,            0.021467,           0.0056174,           0.0029073,           0.0088863,           0.0088863,           0.0088863
                  11,            0.026096,            0.013053,           0.0075101,             0.85239,             0.86574,             0.91031,             0.66974,             0.02091,           0.0054246,           0.0027652,           0.0087625,           0.0087625,           0.0087625
                  12,            0.025795,             0.01285,           0.0073765,             0.84571,             0.85621,             0.90574,             0.66607,            0.020581,           0.0054908,            0.002739,           0.0086388,           0.0086388,           0.0086388
                  13,            0.025719,            0.012819,           0.0074567,             0.84204,             0.85072,             0.89979,             0.65567,            0.020829,           0.0055682,           0.0023919,            0.008515,            0.008515,            0.008515
                  14,            0.025538,            0.012753,           0.0072142,             0.86253,             0.85696,             0.91013,             0.68089,            0.020777,             0.00538,           0.0024476,           0.0083913,           0.0083913,           0.0083913
                  15,            0.025214,            0.012681,           0.0068708,             0.83802,             0.85028,             0.89907,              0.6707,            0.020414,           0.0054975,           0.0025409,           0.0082675,           0.0082675,           0.0082675
                  16,            0.025138,            0.012657,           0.0071322,             0.86533,             0.87911,             0.92061,             0.70019,            0.019345,           0.0051315,           0.0022509,           0.0081437,           0.0081437,           0.0081437
                  17,            0.024934,            0.012601,           0.0071154,             0.82478,             0.80936,             0.86677,             0.61198,            0.022258,           0.0060623,           0.0027881,             0.00802,             0.00802,             0.00802
                  18,            0.024726,            0.012565,            0.006869,             0.85916,             0.86882,             0.91792,             0.69731,            0.019582,           0.0052351,           0.0023687,           0.0078963,           0.0078963,           0.0078963
                  19,            0.024473,            0.012457,           0.0067653,             0.86975,             0.87749,             0.92445,             0.70769,            0.019739,            0.005118,            0.002229,           0.0077725,           0.0077725,           0.0077725
                  20,            0.024528,            0.012459,           0.0069324,             0.86484,             0.88494,             0.92961,             0.71389,            0.019031,           0.0050568,           0.0020536,           0.0076488,           0.0076488,           0.0076488
                  21,              0.0243,            0.012357,           0.0069762,             0.87223,             0.88331,             0.92719,             0.71587,            0.018978,           0.0049893,           0.0020517,            0.007525,            0.007525,            0.007525
                  22,            0.024086,            0.012258,           0.0067302,             0.86636,             0.88444,             0.93143,             0.72243,            0.018621,           0.0049449,              0.0023,           0.0074013,           0.0074013,           0.0074013
                  23,            0.023989,            0.012252,            0.006728,              0.8751,             0.87978,             0.93221,             0.72213,            0.018199,           0.0049116,           0.0021504,           0.0072775,           0.0072775,           0.0072775
                  24,            0.023814,            0.012253,           0.0063895,             0.88313,              0.8853,             0.93597,             0.73065,            0.018533,           0.0049215,            0.001963,           0.0071538,           0.0071538,           0.0071538
                  25,            0.023851,            0.012177,           0.0065927,             0.88711,             0.89378,             0.93929,             0.73774,            0.018397,           0.0048074,           0.0019779,             0.00703,             0.00703,             0.00703
                  26,            0.023587,             0.01212,           0.0065957,             0.88644,             0.88767,              0.9388,             0.73463,            0.018268,           0.0048433,           0.0019358,           0.0069063,           0.0069063,           0.0069063
                  27,            0.023559,            0.012091,           0.0065108,             0.87889,             0.89648,             0.93972,             0.74081,             0.01833,           0.0047213,           0.0019048,           0.0067825,           0.0067825,           0.0067825
                  28,            0.023333,            0.012019,           0.0063565,             0.88896,             0.89841,             0.94269,             0.74183,            0.018301,           0.0047531,           0.0018356,           0.0066587,           0.0066587,           0.0066587
                  29,             0.02327,            0.012005,           0.0063238,             0.89265,             0.88851,             0.93742,             0.74031,            0.018321,           0.0047718,           0.0018959,            0.006535,            0.006535,            0.006535
                  30,             0.02323,            0.011987,           0.0063631,              0.8978,              0.8969,             0.94534,             0.75332,            0.017961,           0.0046201,           0.0017886,           0.0064112,           0.0064112,           0.0064112
                  31,            0.023158,            0.011977,           0.0061825,             0.89953,             0.89814,             0.94705,             0.75199,            0.017583,           0.0045973,           0.0018338,           0.0062875,           0.0062875,           0.0062875
                  32,            0.023004,            0.011946,           0.0063543,             0.90458,              0.8991,             0.94588,             0.74975,            0.017698,           0.0046021,            0.001698,           0.0061637,           0.0061637,           0.0061637
                  33,             0.02272,            0.011823,           0.0061844,             0.89033,             0.90566,             0.94819,             0.75361,            0.017465,           0.0046429,           0.0016744,             0.00604,             0.00604,             0.00604
                  34,            0.022682,            0.011842,           0.0060113,             0.89595,             0.90072,             0.94661,              0.7558,            0.017456,           0.0045831,           0.0018187,           0.0059163,           0.0059163,           0.0059163
                  35,            0.022484,            0.011746,             0.00603,             0.90116,             0.90187,             0.94652,             0.75416,            0.017228,           0.0045372,            0.001745,           0.0057925,           0.0057925,           0.0057925
                  36,            0.022422,            0.011702,           0.0061125,              0.9031,             0.90402,             0.94959,             0.76084,            0.017339,           0.0045424,           0.0017725,           0.0056688,           0.0056688,           0.0056688
                  37,            0.022533,            0.011653,           0.0061049,             0.90043,             0.90704,             0.94773,             0.76026,            0.017263,           0.0045178,           0.0017369,            0.005545,            0.005545,            0.005545
                  38,            0.022442,            0.011712,           0.0059987,             0.90184,             0.90502,             0.95069,             0.76526,            0.016923,           0.0044639,           0.0016672,           0.0054212,           0.0054212,           0.0054212
                  39,            0.022118,             0.01159,           0.0059789,             0.90352,             0.90846,             0.95173,             0.76629,            0.017252,           0.0044729,           0.0016736,           0.0052975,           0.0052975,           0.0052975
                  40,            0.022236,            0.011685,           0.0058768,             0.90357,             0.91003,             0.95209,             0.76747,            0.017247,           0.0044581,           0.0016809,           0.0051737,           0.0051737,           0.0051737
                  41,            0.021975,            0.011497,           0.0058109,             0.90909,             0.91031,             0.95396,             0.76804,            0.016827,           0.0044133,           0.0015948,             0.00505,             0.00505,             0.00505
                  42,            0.021732,            0.011565,            0.005983,             0.90155,             0.90748,             0.95063,              0.7663,            0.016987,           0.0044407,           0.0016908,           0.0049263,           0.0049263,           0.0049263
                  43,            0.021815,            0.011574,           0.0058886,             0.89719,             0.91508,             0.95149,             0.76972,            0.016652,           0.0043808,           0.0016908,           0.0048025,           0.0048025,           0.0048025
                  44,            0.021733,            0.011478,           0.0057172,             0.90691,             0.91209,             0.95254,             0.77383,            0.016873,           0.0043507,           0.0016303,           0.0046788,           0.0046788,           0.0046788
                  45,            0.021742,            0.011404,           0.0056635,             0.90893,             0.91257,             0.95307,             0.77234,            0.016751,           0.0043651,            0.001616,            0.004555,            0.004555,            0.004555
                  46,            0.021451,            0.011406,           0.0056543,             0.90847,             0.91169,             0.95306,             0.77451,             0.01668,           0.0043439,            0.001548,           0.0044313,           0.0044313,           0.0044313
                  47,            0.021438,            0.011379,            0.005569,             0.90457,             0.91709,             0.95502,             0.77742,            0.016539,           0.0043209,           0.0015844,           0.0043075,           0.0043075,           0.0043075
                  48,            0.021254,            0.011384,           0.0054515,              0.9028,              0.9186,             0.95339,             0.77573,            0.016414,           0.0043362,           0.0015563,           0.0041837,           0.0041837,           0.0041837
                  49,            0.021181,            0.011343,           0.0054754,             0.91118,             0.91423,              0.9546,             0.77825,            0.016346,           0.0043114,           0.0015364,             0.00406,             0.00406,             0.00406
                  50,            0.021162,              0.0113,           0.0055735,             0.90301,             0.91924,             0.95606,              0.7805,            0.016502,           0.0042927,           0.0015286,           0.0039362,           0.0039362,           0.0039362
                  51,            0.021118,            0.011233,           0.0054971,             0.90965,             0.91795,             0.95555,             0.77958,            0.016292,            0.004266,           0.0015598,           0.0038125,           0.0038125,           0.0038125
                  52,            0.020965,            0.011231,           0.0053959,             0.91213,             0.91628,             0.95606,             0.78034,            0.016222,           0.0042718,           0.0015444,           0.0036888,           0.0036888,           0.0036888
                  53,            0.020782,            0.011124,           0.0053944,             0.91202,             0.91468,             0.95616,             0.78098,            0.016134,           0.0042573,           0.0015393,            0.003565,            0.003565,            0.003565
                  54,            0.020592,            0.011232,           0.0052183,             0.91315,             0.91845,             0.95708,             0.78363,            0.016069,           0.0042447,           0.0015535,           0.0034413,           0.0034413,           0.0034413
                  55,            0.020384,            0.010973,           0.0053041,             0.91407,             0.91843,             0.95748,             0.78493,            0.016018,           0.0042297,           0.0015267,           0.0033175,           0.0033175,           0.0033175
                  56,            0.020398,            0.010991,           0.0051677,             0.91397,             0.91887,             0.95748,             0.78491,             0.01588,           0.0042296,           0.0015204,           0.0031938,           0.0031938,           0.0031938
                  57,            0.020363,            0.010932,           0.0051893,             0.91475,             0.91786,             0.95775,             0.78524,            0.015797,           0.0042248,           0.0015316,             0.00307,             0.00307,             0.00307
                  58,            0.020218,            0.010957,           0.0050865,              0.9163,             0.91875,              0.9576,             0.78585,            0.015739,           0.0042151,           0.0015233,           0.0029462,           0.0029462,           0.0029462
                  59,            0.020177,             0.01089,           0.0051368,             0.91288,             0.92008,              0.9573,             0.78565,            0.015662,           0.0042263,           0.0014971,           0.0028225,           0.0028225,           0.0028225
