               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050661,            0.020367,            0.022468,             0.71607,             0.76624,             0.79855,             0.49433,            0.021051,           0.0059993,           0.0058295,            0.070052,           0.0033276,           0.0033276
                   1,            0.035203,            0.014893,            0.010811,              0.7443,             0.76247,             0.80349,             0.53192,            0.020954,           0.0063737,           0.0047892,            0.039979,           0.0065876,           0.0065876
                   2,             0.03354,            0.014932,            0.010612,             0.39637,             0.43187,             0.37466,             0.16708,            0.030466,           0.0088117,            0.012935,           0.0098321,           0.0097744,           0.0097744
                   3,             0.03217,            0.014991,            0.010373,             0.64054,             0.73026,             0.77204,             0.51799,            0.019737,           0.0069551,           0.0073871,             0.00967,             0.00967,             0.00967
                   4,            0.029676,            0.014324,           0.0093423,              0.8069,              0.8255,             0.86739,             0.60703,            0.017711,           0.0057253,           0.0028928,             0.00967,             0.00967,             0.00967
                   5,            0.028338,            0.013854,           0.0085664,             0.80543,             0.82978,             0.89151,             0.65409,            0.016417,            0.005424,           0.0033042,             0.00956,             0.00956,             0.00956
                   6,            0.027308,            0.013429,           0.0080741,             0.84801,             0.85456,             0.90566,             0.67332,             0.01575,            0.005102,            0.002442,             0.00945,             0.00945,             0.00945
                   7,            0.026707,             0.01322,           0.0080696,             0.85121,             0.87434,             0.91614,             0.67824,            0.015865,           0.0051031,           0.0021937,             0.00934,             0.00934,             0.00934
                   8,            0.026176,            0.013128,            0.007749,             0.85733,             0.87879,             0.92672,             0.69897,            0.015336,           0.0048973,           0.0019612,             0.00923,             0.00923,             0.00923
                   9,            0.026101,            0.012972,           0.0075288,             0.84805,             0.86762,             0.91611,             0.69415,            0.015078,           0.0050242,           0.0019392,             0.00912,             0.00912,             0.00912
                  10,            0.025997,            0.012849,           0.0074879,             0.86939,             0.87651,             0.92909,             0.71511,            0.014735,           0.0047077,           0.0020398,             0.00901,             0.00901,             0.00901
                  11,            0.025615,            0.012893,           0.0072818,             0.87555,             0.88666,             0.93958,             0.72739,            0.014758,           0.0045891,           0.0018523,              0.0089,              0.0089,              0.0089
                  12,             0.02514,            0.012669,           0.0070148,             0.88234,             0.87969,             0.93996,             0.73213,            0.014321,           0.0046111,           0.0017809,             0.00879,             0.00879,             0.00879
                  13,            0.025265,            0.012657,           0.0072414,             0.88648,             0.88541,             0.93907,             0.73224,             0.01404,           0.0045112,           0.0018802,             0.00868,             0.00868,             0.00868
                  14,            0.024792,            0.012546,           0.0070845,             0.87287,              0.8938,             0.94028,             0.73936,            0.013803,           0.0044605,           0.0019379,             0.00857,             0.00857,             0.00857
                  15,            0.024598,            0.012499,           0.0068031,             0.88657,             0.90323,             0.94576,             0.74811,            0.013577,           0.0043652,           0.0015027,             0.00846,             0.00846,             0.00846
                  16,            0.024452,            0.012462,           0.0067705,             0.88882,             0.90572,              0.9465,             0.74965,            0.013574,           0.0043383,           0.0014511,             0.00835,             0.00835,             0.00835
                  17,            0.024264,            0.012342,           0.0070336,             0.88928,             0.90072,             0.94591,             0.74999,            0.013523,           0.0043278,           0.0015753,             0.00824,             0.00824,             0.00824
                  18,            0.024315,            0.012253,           0.0067752,             0.88969,             0.90817,             0.94924,             0.75488,             0.01332,           0.0042812,           0.0014741,             0.00813,             0.00813,             0.00813
                  19,            0.024144,            0.012267,           0.0064641,             0.89114,               0.903,              0.9478,             0.75438,            0.013307,           0.0042717,           0.0015583,             0.00802,             0.00802,             0.00802
                  20,             0.02408,            0.012127,           0.0066838,             0.89631,             0.90995,              0.9512,             0.75941,            0.013215,           0.0042198,           0.0014611,             0.00791,             0.00791,             0.00791
                  21,            0.024128,            0.012241,           0.0068105,             0.90146,             0.89955,             0.94936,             0.75864,             0.01319,           0.0042404,           0.0014167,              0.0078,              0.0078,              0.0078
                  22,            0.023748,            0.012066,           0.0065486,             0.89916,               0.905,              0.9503,             0.76219,            0.013115,           0.0042147,           0.0013866,             0.00769,             0.00769,             0.00769
                  23,            0.023827,             0.01202,           0.0065185,             0.89473,              0.9116,              0.9513,             0.76356,            0.012987,           0.0041918,            0.001381,             0.00758,             0.00758,             0.00758
                  24,            0.023809,            0.012049,           0.0065348,             0.89998,             0.90915,             0.95312,             0.76603,            0.012959,           0.0041564,           0.0014315,             0.00747,             0.00747,             0.00747
                  25,             0.02346,            0.011997,           0.0064544,             0.89519,             0.91216,             0.95289,             0.76732,            0.012943,           0.0041564,           0.0014084,             0.00736,             0.00736,             0.00736
                  26,            0.023425,            0.011938,           0.0063382,              0.8969,             0.90983,             0.95381,             0.76991,            0.012881,           0.0041428,           0.0013879,             0.00725,             0.00725,             0.00725
                  27,            0.023215,            0.011884,           0.0063059,             0.89817,             0.91141,             0.95462,             0.77125,            0.012845,            0.004125,            0.001366,             0.00714,             0.00714,             0.00714
                  28,            0.023377,             0.01186,           0.0060797,             0.90115,             0.90947,             0.95505,             0.77226,            0.012815,           0.0041129,           0.0013585,             0.00703,             0.00703,             0.00703
                  29,            0.023213,            0.011893,           0.0063187,              0.9041,             0.90652,             0.95545,             0.77285,            0.012765,           0.0041053,            0.001353,             0.00692,             0.00692,             0.00692
                  30,            0.023138,            0.011895,           0.0061716,             0.90426,              0.9063,             0.95557,             0.77286,            0.012731,            0.004102,           0.0013583,             0.00681,             0.00681,             0.00681
                  31,            0.023128,            0.011804,            0.006129,             0.89963,             0.91266,             0.95548,             0.77355,            0.012707,            0.004098,           0.0013617,              0.0067,              0.0067,              0.0067
                  32,             0.02294,            0.011755,           0.0062653,             0.89895,             0.91462,             0.95542,             0.77365,            0.012701,           0.0040938,           0.0013773,             0.00659,             0.00659,             0.00659
                  33,            0.023075,            0.011785,           0.0061575,             0.89682,             0.91697,             0.95548,             0.77391,            0.012674,           0.0040896,           0.0013828,             0.00648,             0.00648,             0.00648
                  34,             0.02279,            0.011771,           0.0060538,             0.89744,             0.91675,             0.95556,             0.77459,            0.012654,           0.0040861,           0.0013899,             0.00637,             0.00637,             0.00637
                  35,            0.022839,            0.011717,           0.0061241,              0.8977,             0.91785,             0.95559,             0.77512,            0.012648,           0.0040839,           0.0013972,             0.00626,             0.00626,             0.00626
                  36,            0.022761,            0.011665,           0.0061941,             0.89833,             0.91895,             0.95579,             0.77531,             0.01264,           0.0040781,           0.0013959,             0.00615,             0.00615,             0.00615
                  37,            0.022675,            0.011725,           0.0060291,             0.89911,              0.9184,             0.95588,             0.77589,            0.012634,           0.0040731,           0.0013918,             0.00604,             0.00604,             0.00604
                  38,            0.022567,            0.011614,           0.0057613,             0.89987,             0.91755,              0.9558,             0.77636,            0.012623,           0.0040697,           0.0013895,             0.00593,             0.00593,             0.00593
                  39,            0.022339,            0.011459,           0.0058705,             0.90056,             0.91664,             0.95614,             0.77649,            0.012613,           0.0040655,           0.0013809,             0.00582,             0.00582,             0.00582
                  40,            0.022396,            0.011518,           0.0057963,             0.90268,             0.91562,             0.95614,             0.77686,            0.012602,           0.0040627,           0.0013797,             0.00571,             0.00571,             0.00571
                  41,            0.022189,            0.011516,           0.0057903,             0.90327,             0.91497,             0.95602,             0.77698,            0.012602,           0.0040583,            0.001381,              0.0056,              0.0056,              0.0056
                  42,            0.022529,            0.011564,           0.0058212,             0.90302,             0.91473,             0.95609,             0.77736,              0.0126,           0.0040585,           0.0013788,             0.00549,             0.00549,             0.00549
                  43,            0.022131,            0.011471,           0.0056325,             0.90434,             0.91429,             0.95619,             0.77769,            0.012593,           0.0040565,           0.0013725,             0.00538,             0.00538,             0.00538
                  44,            0.021983,            0.011382,           0.0057139,             0.90354,             0.91559,             0.95627,             0.77812,            0.012588,           0.0040529,           0.0013667,             0.00527,             0.00527,             0.00527
                  45,             0.02213,            0.011482,           0.0057637,             0.90374,             0.91522,             0.95645,             0.77853,            0.012587,           0.0040484,           0.0013627,             0.00516,             0.00516,             0.00516
                  46,            0.021994,            0.011355,           0.0055572,             0.90532,             0.91416,             0.95673,             0.77922,            0.012575,           0.0040447,           0.0013556,             0.00505,             0.00505,             0.00505
                  47,            0.021644,            0.011345,           0.0053783,             0.90612,             0.91345,             0.95668,             0.77929,            0.012567,           0.0040411,           0.0013494,             0.00494,             0.00494,             0.00494
                  48,            0.021595,            0.011262,           0.0055622,             0.90693,             0.91339,             0.95698,             0.78022,            0.012556,           0.0040351,           0.0013451,             0.00483,             0.00483,             0.00483
                  49,            0.021394,            0.011267,           0.0053786,             0.90659,             0.91363,             0.95705,             0.78044,            0.012544,           0.0040302,           0.0013426,             0.00472,             0.00472,             0.00472
                  50,            0.021506,            0.011211,           0.0056061,             0.90631,             0.91364,              0.9572,             0.78054,            0.012538,           0.0040261,             0.00134,             0.00461,             0.00461,             0.00461
                  51,            0.021552,            0.011201,           0.0054945,             0.90802,              0.9132,             0.95735,             0.78104,            0.012529,           0.0040187,            0.001336,              0.0045,              0.0045,              0.0045
                  52,            0.021349,            0.011206,           0.0053953,             0.90874,             0.91297,             0.95759,             0.78182,            0.012515,           0.0040108,           0.0013328,             0.00439,             0.00439,             0.00439
                  53,            0.021463,            0.011299,           0.0055296,             0.90785,             0.91334,             0.95783,             0.78228,            0.012501,           0.0040042,            0.001332,             0.00428,             0.00428,             0.00428
                  54,            0.021251,             0.01107,           0.0051941,             0.90911,             0.91238,             0.95822,             0.78256,            0.012483,            0.003997,           0.0013308,             0.00417,             0.00417,             0.00417
                  55,            0.021201,            0.011139,           0.0053303,             0.91168,             0.91031,             0.95855,             0.78333,            0.012463,           0.0039905,           0.0013282,             0.00406,             0.00406,             0.00406
                  56,            0.021095,            0.011105,           0.0052315,              0.9127,             0.91013,             0.95882,             0.78381,            0.012446,           0.0039863,            0.001328,             0.00395,             0.00395,             0.00395
                  57,            0.020914,            0.010998,           0.0051235,             0.91441,             0.90875,             0.95902,             0.78426,            0.012436,           0.0039816,           0.0013265,             0.00384,             0.00384,             0.00384
                  58,            0.020951,            0.011039,           0.0053025,              0.9147,             0.90866,             0.95931,             0.78494,            0.012421,           0.0039763,            0.001324,             0.00373,             0.00373,             0.00373
                  59,            0.020784,            0.010975,           0.0051749,             0.91479,             0.90764,             0.95952,             0.78571,            0.012403,           0.0039709,            0.001319,             0.00362,             0.00362,             0.00362
                  60,            0.020763,             0.01092,           0.0049116,             0.91548,             0.90786,             0.95971,             0.78616,            0.012386,           0.0039651,           0.0013163,             0.00351,             0.00351,             0.00351
                  61,            0.020619,            0.010922,           0.0050356,             0.91498,             0.90983,             0.96013,             0.78675,            0.012368,           0.0039585,           0.0013134,              0.0034,              0.0034,              0.0034
                  62,            0.020633,            0.010844,           0.0049063,             0.91422,             0.91005,              0.9604,             0.78715,            0.012357,            0.003951,           0.0013096,             0.00329,             0.00329,             0.00329
                  63,            0.020602,            0.010762,           0.0048644,             0.91309,             0.91066,             0.96066,             0.78768,            0.012348,           0.0039471,           0.0013098,             0.00318,             0.00318,             0.00318
                  64,            0.020345,            0.010789,           0.0049048,             0.91253,             0.91211,             0.96066,             0.78788,            0.012337,           0.0039405,           0.0013086,             0.00307,             0.00307,             0.00307
                  65,            0.020388,            0.010783,           0.0048488,             0.91389,              0.9113,             0.96086,             0.78816,            0.012324,           0.0039361,           0.0013053,             0.00296,             0.00296,             0.00296
                  66,            0.020166,            0.010675,           0.0046472,             0.90853,             0.91766,             0.96111,             0.78852,            0.012312,           0.0039292,           0.0013058,             0.00285,             0.00285,             0.00285
                  67,            0.019996,            0.010649,           0.0047336,             0.91261,             0.91355,             0.96127,             0.78893,            0.012302,           0.0039254,           0.0013024,             0.00274,             0.00274,             0.00274
