               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022429,            0.011153,           0.0046634,             0.91847,             0.91875,             0.95939,             0.78542,             0.01702,            0.004282,           0.0044422,            0.070144,           0.0033174,           0.0033174
                   1,            0.022796,            0.011428,           0.0049156,             0.90925,             0.90589,             0.95278,             0.75204,            0.018202,           0.0046804,           0.0050515,            0.039924,           0.0064312,           0.0064312
                   2,            0.023425,            0.012203,           0.0060224,             0.77937,             0.72898,             0.79732,             0.52947,            0.025115,           0.0073338,             0.00713,           0.0094846,           0.0093251,           0.0093251
                   3,            0.025028,            0.013132,           0.0072308,             0.83155,             0.83667,             0.89136,             0.65474,            0.022251,           0.0059157,            0.006797,             0.00901,             0.00901,             0.00901
                   4,            0.025271,            0.013213,           0.0074587,             0.82724,             0.84966,             0.88859,              0.6399,            0.022997,           0.0059381,           0.0058069,             0.00901,             0.00901,             0.00901
                   5,            0.025084,            0.013246,           0.0071875,             0.85016,             0.85471,             0.90676,             0.66596,            0.021011,           0.0056146,            0.005273,             0.00868,             0.00868,             0.00868
                   6,            0.024653,            0.013108,           0.0070064,             0.84957,             0.86593,             0.90965,             0.67086,            0.021871,           0.0054907,           0.0051589,             0.00835,             0.00835,             0.00835
                   7,             0.02436,            0.013015,           0.0069085,              0.8654,             0.88453,             0.92603,             0.70392,            0.020715,           0.0052407,           0.0050497,             0.00802,             0.00802,             0.00802
                   8,            0.024202,            0.012829,           0.0068497,             0.87586,             0.89696,             0.93138,             0.70526,            0.020203,           0.0052804,           0.0048465,             0.00769,             0.00769,             0.00769
                   9,            0.023942,            0.012778,           0.0067456,             0.86908,             0.88796,             0.91979,              0.7087,            0.020313,           0.0050734,            0.004459,             0.00736,             0.00736,             0.00736
                  10,            0.023494,            0.012664,           0.0066019,             0.88545,             0.88287,             0.93187,             0.72222,            0.019865,           0.0050483,            0.005378,             0.00703,             0.00703,             0.00703
                  11,            0.023296,            0.012613,           0.0064141,             0.88164,             0.89782,             0.93621,             0.73229,            0.019445,           0.0049559,           0.0055218,              0.0067,              0.0067,              0.0067
                  12,            0.023159,            0.012541,           0.0065632,             0.87595,             0.88977,             0.92968,             0.72269,            0.019093,             0.00503,           0.0051361,             0.00637,             0.00637,             0.00637
                  13,            0.023064,            0.012427,           0.0063376,             0.88391,             0.89947,             0.94148,             0.73486,             0.01879,           0.0049418,           0.0049082,             0.00604,             0.00604,             0.00604
                  14,            0.022667,            0.012472,           0.0062446,             0.87256,              0.8859,             0.92921,              0.7201,            0.019153,           0.0050507,           0.0052152,             0.00571,             0.00571,             0.00571
                  15,            0.022666,            0.012342,           0.0060819,             0.87983,              0.8837,             0.93312,             0.72747,            0.019244,           0.0050069,           0.0057064,             0.00538,             0.00538,             0.00538
                  16,            0.022164,            0.012186,           0.0059323,             0.90376,             0.88657,              0.9455,             0.75347,            0.018171,           0.0047139,           0.0053229,             0.00505,             0.00505,             0.00505
                  17,            0.021998,            0.012216,            0.005792,             0.89725,             0.90248,             0.94474,             0.75144,            0.018309,           0.0046882,           0.0048468,             0.00472,             0.00472,             0.00472
                  18,             0.02173,            0.012038,           0.0058375,             0.90504,             0.90241,             0.94651,             0.75484,            0.018105,           0.0046111,           0.0046954,             0.00439,             0.00439,             0.00439
                  19,            0.021372,            0.011989,           0.0055717,             0.90266,             0.90846,             0.94539,             0.75972,            0.017804,           0.0045744,           0.0049225,             0.00406,             0.00406,             0.00406
                  20,            0.021208,            0.011878,           0.0056165,              0.9063,             0.91147,             0.94979,             0.76573,            0.017662,           0.0044911,             0.00516,             0.00373,             0.00373,             0.00373
                  21,            0.021034,            0.011834,           0.0054871,             0.91585,             0.91112,             0.95398,              0.7724,            0.017852,           0.0044751,           0.0048386,              0.0034,              0.0034,              0.0034
                  22,            0.020808,            0.011718,           0.0053044,             0.90575,             0.91824,             0.95248,              0.7684,            0.017735,           0.0044903,           0.0045468,             0.00307,             0.00307,             0.00307
                  23,            0.020614,            0.011543,           0.0051923,              0.9023,             0.91174,             0.95195,             0.77246,            0.017434,           0.0044757,           0.0047384,             0.00274,             0.00274,             0.00274
                  24,            0.020239,            0.011445,           0.0052264,             0.91573,             0.91454,             0.95797,             0.78127,             0.01704,           0.0043453,           0.0046565,             0.00241,             0.00241,             0.00241
                  25,            0.020062,            0.011455,           0.0050213,             0.91592,             0.91513,             0.95774,             0.78417,            0.016901,            0.004341,           0.0048649,             0.00208,             0.00208,             0.00208
                  26,            0.019797,            0.011322,           0.0050103,             0.91574,             0.91541,             0.95753,             0.78355,            0.016841,           0.0043199,           0.0045048,             0.00175,             0.00175,             0.00175
                  27,            0.019496,            0.011285,           0.0048267,              0.9179,             0.92101,             0.95912,             0.78754,            0.016772,            0.004302,           0.0043746,             0.00142,             0.00142,             0.00142
                  28,             0.01931,            0.011226,           0.0046447,               0.918,               0.919,             0.95976,             0.79223,            0.016642,           0.0042839,           0.0047826,             0.00109,             0.00109,             0.00109
                  29,             0.01897,            0.011076,           0.0046373,             0.92273,             0.92023,             0.96045,             0.79287,            0.016505,            0.004245,           0.0045258,             0.00076,             0.00076,             0.00076
