               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06422,            0.025304,            0.030859,             0.46209,              0.6528,             0.51582,             0.26341,            0.033431,           0.0081952,            0.014071,            0.070286,           0.0033016,           0.0033016
                   1,            0.043708,            0.017963,            0.015492,             0.68651,             0.75151,              0.7581,             0.43699,            0.027755,           0.0068539,           0.0067458,            0.040176,           0.0065254,           0.0065254
                   2,            0.038344,            0.015912,             0.01144,             0.43817,              0.4022,             0.36131,             0.16862,            0.036688,           0.0092936,            0.019567,           0.0099568,           0.0096393,           0.0096393
                   3,            0.034485,            0.015592,            0.010449,             0.69362,               0.733,             0.76017,             0.48268,            0.025474,           0.0069696,           0.0069488,            0.009505,            0.009505,            0.009505
                   4,            0.032049,            0.015123,           0.0099938,             0.75482,             0.76897,             0.82194,             0.53275,            0.025888,           0.0066355,           0.0049176,            0.009505,            0.009505,            0.009505
                   5,            0.030567,            0.014715,           0.0091263,             0.60672,             0.55922,             0.58204,             0.33214,            0.029853,           0.0086283,           0.0082412,             0.00934,             0.00934,             0.00934
                   6,            0.029578,            0.014605,           0.0088249,             0.74507,             0.77747,             0.80887,             0.53374,            0.024109,            0.006602,           0.0046017,            0.009175,            0.009175,            0.009175
                   7,            0.029224,            0.014511,           0.0088303,             0.68269,              0.6441,             0.68761,             0.41692,            0.028211,           0.0079632,           0.0061657,             0.00901,             0.00901,             0.00901
                   8,            0.028673,            0.014305,           0.0085244,             0.78566,             0.78249,             0.83299,             0.57439,            0.023387,           0.0064535,           0.0059021,            0.008845,            0.008845,            0.008845
                   9,            0.028102,            0.014002,           0.0083208,             0.81248,             0.83507,             0.87579,             0.61548,            0.023368,           0.0059346,           0.0037613,             0.00868,             0.00868,             0.00868
                  10,            0.027741,            0.013964,           0.0081567,             0.81556,             0.84618,             0.88764,             0.63542,            0.022296,           0.0058353,           0.0036915,            0.008515,            0.008515,            0.008515
                  11,            0.027537,            0.013992,           0.0079435,             0.78199,              0.7858,             0.83295,             0.58567,            0.022778,           0.0064063,           0.0050403,             0.00835,             0.00835,             0.00835
