               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020992,            0.010998,            0.003856,             0.84595,             0.85624,             0.91255,             0.70055,            0.017594,           0.0054357,            0.002238,             0.07018,           0.0033134,           0.0033134
                   1,            0.022001,            0.011529,           0.0043546,             0.83103,             0.84916,              0.8921,             0.67026,            0.018744,           0.0056862,           0.0031272,            0.039851,           0.0063177,           0.0063177
                   2,            0.023755,            0.012177,           0.0052778,             0.77283,             0.79521,             0.85229,             0.59058,            0.021249,            0.006495,           0.0031225,           0.0091916,            0.008992,            0.008992
                   3,            0.025667,            0.012934,           0.0064112,             0.81368,             0.83433,             0.88028,             0.61938,            0.021154,           0.0061306,           0.0029698,            0.008515,            0.008515,            0.008515
                   4,            0.025712,            0.013164,           0.0064653,             0.82321,             0.81172,             0.87225,             0.61345,            0.021586,            0.006328,           0.0028384,            0.008515,            0.008515,            0.008515
                   5,            0.025265,            0.013086,           0.0061766,             0.80468,             0.76931,             0.83951,             0.57778,            0.021511,            0.006434,            0.004059,             0.00802,             0.00802,             0.00802
                   6,            0.024995,            0.012885,           0.0060754,             0.79506,             0.82221,             0.86063,             0.61048,            0.020228,            0.005925,           0.0035016,            0.007525,            0.007525,            0.007525
                   7,            0.024485,            0.012617,           0.0057119,             0.78285,               0.838,             0.85763,             0.63001,            0.019756,           0.0060776,           0.0023718,             0.00703,             0.00703,             0.00703
                   8,            0.024183,            0.012536,           0.0055907,             0.82386,             0.80618,             0.87363,             0.63618,            0.019366,            0.005906,           0.0028468,            0.006535,            0.006535,            0.006535
                   9,            0.023502,            0.012217,           0.0051159,             0.79855,             0.79746,             0.84607,             0.61655,            0.019669,           0.0065298,           0.0030957,             0.00604,             0.00604,             0.00604
                  10,            0.022975,            0.012286,           0.0051447,              0.8115,             0.84614,              0.8856,             0.64757,            0.019412,           0.0057669,           0.0024614,            0.005545,            0.005545,            0.005545
                  11,            0.022765,            0.012107,           0.0046387,             0.82924,             0.83477,             0.88559,             0.64914,            0.019188,           0.0060568,           0.0020365,             0.00505,             0.00505,             0.00505
                  12,            0.022381,            0.011956,           0.0046686,             0.84649,             0.82808,             0.88753,             0.66492,            0.018643,           0.0060272,           0.0026491,            0.004555,            0.004555,            0.004555
                  13,            0.022093,            0.011874,           0.0046619,             0.83624,             0.81367,             0.87358,             0.63752,            0.018492,            0.006101,           0.0031569,             0.00406,             0.00406,             0.00406
                  14,            0.021444,            0.011619,           0.0043705,             0.84392,             0.85935,             0.90475,             0.69124,            0.017704,           0.0056289,           0.0024468,            0.003565,            0.003565,            0.003565
                  15,            0.021051,            0.011438,           0.0042935,             0.85551,               0.834,             0.90561,              0.6887,            0.017905,           0.0055222,           0.0025711,             0.00307,             0.00307,             0.00307
                  16,             0.02074,            0.011219,           0.0039781,             0.85963,             0.85909,             0.90962,             0.68651,            0.018003,           0.0055951,           0.0025641,            0.002575,            0.002575,            0.002575
                  17,            0.020271,            0.010983,           0.0038936,             0.84716,             0.86875,             0.91298,             0.70024,            0.017205,           0.0054785,           0.0025281,             0.00208,             0.00208,             0.00208
                  18,            0.019923,            0.010899,           0.0036038,             0.84581,             0.87238,             0.91494,              0.7067,            0.017484,           0.0054442,           0.0024883,            0.001585,            0.001585,            0.001585
                  19,            0.019408,            0.010615,           0.0034681,             0.85962,             0.86051,             0.91327,             0.70654,            0.017041,           0.0055311,           0.0025731,             0.00109,             0.00109,             0.00109
