               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064022,            0.024541,            0.029197,             0.38067,             0.56567,             0.42385,             0.20541,            0.032816,           0.0076417,            0.012699,             0.07018,           0.0033134,           0.0033134
                   1,            0.043226,            0.017708,            0.014201,              0.5459,             0.47773,             0.48086,             0.24516,            0.032091,           0.0087554,            0.011794,            0.039851,           0.0063177,           0.0063177
                   2,            0.039262,            0.016504,            0.012257,             0.48018,               0.434,              0.4231,             0.20724,            0.034533,           0.0091163,            0.013854,           0.0091916,            0.008992,            0.008992
                   3,            0.036936,            0.016747,            0.011768,             0.65964,             0.61167,             0.64597,             0.38323,            0.027902,           0.0080902,           0.0073629,            0.008515,            0.008515,            0.008515
                   4,            0.034075,             0.01628,            0.010802,             0.65269,             0.68554,             0.71775,             0.43887,            0.026525,           0.0077966,            0.007123,            0.008515,            0.008515,            0.008515
                   5,            0.032276,            0.015511,           0.0097873,             0.67507,             0.71333,             0.72806,              0.4217,            0.026344,           0.0077743,           0.0061387,             0.00802,             0.00802,             0.00802
                   6,            0.030913,            0.014984,           0.0088257,             0.75657,             0.72004,             0.78627,             0.48723,            0.024845,           0.0070974,           0.0052545,            0.007525,            0.007525,            0.007525
                   7,            0.029714,            0.014676,           0.0088789,             0.67916,             0.75082,             0.77249,             0.50305,            0.022771,           0.0073454,           0.0041597,             0.00703,             0.00703,             0.00703
                   8,             0.02918,            0.014337,           0.0078246,             0.76333,             0.72795,             0.79724,             0.52739,            0.022612,           0.0069745,           0.0061525,            0.006535,            0.006535,            0.006535
                   9,             0.02823,            0.014047,           0.0077159,             0.77844,              0.8388,             0.85669,             0.59116,            0.021136,           0.0062759,           0.0030876,             0.00604,             0.00604,             0.00604
                  10,            0.027148,            0.013845,           0.0073899,             0.75623,             0.77388,             0.83141,             0.56362,            0.022433,            0.006386,           0.0046267,            0.005545,            0.005545,            0.005545
                  11,            0.026778,            0.013866,           0.0072699,             0.78021,             0.78967,             0.85502,             0.59235,            0.022092,           0.0061654,           0.0030314,             0.00505,             0.00505,             0.00505
                  12,            0.026064,             0.01341,           0.0066505,             0.81724,             0.83667,             0.87701,             0.64021,            0.019148,            0.005968,           0.0039082,            0.004555,            0.004555,            0.004555
                  13,            0.025342,            0.013226,           0.0066814,             0.81226,             0.82461,             0.87948,             0.64481,            0.019616,           0.0059352,           0.0028769,             0.00406,             0.00406,             0.00406
                  14,            0.024802,            0.012995,           0.0063007,             0.81292,             0.85271,             0.88546,             0.65977,            0.018408,           0.0056814,           0.0028547,            0.003565,            0.003565,            0.003565
                  15,            0.024398,            0.012758,           0.0060354,              0.8128,             0.83478,              0.8875,             0.66205,            0.018762,           0.0057331,           0.0024903,             0.00307,             0.00307,             0.00307
                  16,            0.023696,            0.012528,           0.0057105,             0.81984,             0.87167,             0.89699,             0.67694,            0.018814,           0.0055866,           0.0025134,            0.002575,            0.002575,            0.002575
                  17,            0.023173,            0.012284,           0.0055514,             0.85277,              0.8481,              0.9058,             0.68343,            0.018401,           0.0054932,           0.0023694,             0.00208,             0.00208,             0.00208
                  18,            0.022886,            0.012134,           0.0054468,              0.8389,             0.85431,             0.90419,              0.6931,             0.01829,            0.005468,           0.0019977,            0.001585,            0.001585,            0.001585
                  19,            0.022091,            0.011863,           0.0048558,             0.85509,             0.84268,             0.90358,             0.69397,            0.017861,           0.0054677,           0.0020349,             0.00109,             0.00109,             0.00109
