               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06381,            0.024543,            0.029291,             0.45173,             0.58543,             0.49185,             0.27603,            0.030344,           0.0078108,            0.012582,             0.07018,           0.0033134,           0.0033134
                   1,            0.043418,            0.017652,            0.014248,             0.59604,             0.64033,             0.63566,              0.3725,            0.029152,           0.0078482,           0.0080236,            0.040015,           0.0064822,           0.0064822
                   2,            0.039634,            0.016623,            0.012527,              0.4417,               0.374,             0.33074,              0.1525,            0.038566,            0.010466,            0.017858,           0.0096856,            0.009486,            0.009486
                   3,            0.037356,            0.016907,            0.012104,             0.56473,              0.5107,             0.50362,             0.25765,            0.032273,            0.009246,            0.010028,           0.0092575,           0.0092575,           0.0092575
                   4,            0.034615,            0.016426,            0.011053,             0.46466,             0.37767,             0.37066,              0.1741,            0.035645,           0.0098945,            0.010054,           0.0092575,           0.0092575,           0.0092575
                   5,             0.03249,            0.015572,           0.0098262,             0.71509,             0.65869,             0.73249,             0.42868,            0.027146,           0.0074958,           0.0079725,             0.00901,             0.00901,             0.00901
                   6,            0.031769,            0.015304,           0.0092669,             0.66582,             0.66969,             0.69881,             0.43713,            0.024341,           0.0072722,           0.0084456,           0.0087625,           0.0087625,           0.0087625
                   7,            0.030617,            0.015056,            0.009173,              0.7033,             0.78573,             0.79636,             0.51325,            0.023263,           0.0070153,            0.003992,            0.008515,            0.008515,            0.008515
                   8,            0.029966,            0.014696,           0.0083658,             0.76796,               0.775,             0.82537,              0.5482,            0.023053,           0.0066989,           0.0050574,           0.0082675,           0.0082675,           0.0082675
                   9,            0.029091,            0.014404,           0.0082276,             0.70278,             0.72242,             0.75902,             0.48455,            0.024214,            0.007467,           0.0043157,             0.00802,             0.00802,             0.00802
                  10,             0.02851,            0.014416,           0.0081189,             0.72864,             0.79956,             0.82257,              0.5536,            0.022157,           0.0065846,           0.0040211,           0.0077725,           0.0077725,           0.0077725
                  11,            0.028165,            0.014324,           0.0079767,             0.76763,             0.78204,             0.83924,              0.5677,            0.023175,           0.0065634,           0.0034295,            0.007525,            0.007525,            0.007525
                  12,            0.027771,             0.01409,           0.0074368,             0.79784,             0.82518,             0.85612,             0.59376,            0.020491,           0.0062354,           0.0038668,           0.0072775,           0.0072775,           0.0072775
                  13,            0.027256,             0.01387,            0.007444,             0.78125,             0.79567,             0.84517,             0.59004,            0.021487,           0.0064168,           0.0028492,             0.00703,             0.00703,             0.00703
                  14,            0.026679,            0.013686,            0.007028,             0.76202,             0.74367,             0.80843,              0.5466,            0.021279,           0.0068287,           0.0041364,           0.0067825,           0.0067825,           0.0067825
                  15,             0.02655,            0.013471,           0.0071887,             0.79919,             0.80396,             0.86269,             0.60967,            0.020085,           0.0062022,           0.0031738,            0.006535,            0.006535,            0.006535
                  16,            0.026074,            0.013295,           0.0066787,             0.83323,             0.81557,             0.88579,              0.6491,            0.019876,           0.0059285,            0.003255,           0.0062875,           0.0062875,           0.0062875
                  17,            0.025624,             0.01312,           0.0065998,             0.79778,             0.82384,             0.87373,             0.63401,            0.019315,           0.0058618,           0.0039027,             0.00604,             0.00604,             0.00604
                  18,            0.025677,            0.013088,           0.0065851,             0.81692,               0.843,             0.90002,             0.65956,            0.019394,           0.0057209,           0.0023745,           0.0057925,           0.0057925,           0.0057925
                  19,            0.025048,            0.012857,           0.0061459,             0.81347,             0.81302,             0.87016,             0.62564,            0.019819,           0.0059334,           0.0026783,            0.005545,            0.005545,            0.005545
                  20,            0.024874,            0.012936,            0.006258,             0.78898,              0.8224,             0.87857,             0.64276,            0.018846,           0.0058991,           0.0025713,           0.0052975,           0.0052975,           0.0052975
                  21,            0.024477,            0.012725,           0.0058599,              0.8082,             0.86224,             0.89621,             0.65626,            0.018867,           0.0057347,             0.00238,             0.00505,             0.00505,             0.00505
                  22,            0.024162,            0.012494,           0.0057418,             0.83937,             0.84564,             0.89214,             0.66691,            0.018092,           0.0056142,           0.0023594,           0.0048025,           0.0048025,           0.0048025
                  23,            0.023723,            0.012653,           0.0058222,             0.82793,             0.84388,              0.8848,             0.65678,            0.018609,           0.0058492,           0.0025997,            0.004555,            0.004555,            0.004555
                  24,            0.023538,            0.012437,           0.0054137,             0.82136,             0.83837,             0.89543,             0.67466,            0.018072,           0.0056874,           0.0025675,           0.0043075,           0.0043075,           0.0043075
                  25,            0.023064,            0.012335,            0.005368,             0.83212,             0.84683,             0.90146,             0.67804,            0.017814,           0.0055141,            0.002286,             0.00406,             0.00406,             0.00406
                  26,            0.023039,            0.012226,           0.0054085,             0.82563,               0.842,             0.89262,             0.67436,            0.018205,           0.0055354,           0.0024788,           0.0038125,           0.0038125,           0.0038125
                  27,            0.022844,            0.012136,           0.0053187,             0.83014,             0.85923,             0.90223,             0.67804,            0.018092,           0.0054917,            0.002118,            0.003565,            0.003565,            0.003565
                  28,            0.022454,            0.012072,           0.0050686,             0.84562,             0.84036,              0.8991,             0.68267,            0.017948,           0.0054861,           0.0026688,           0.0033175,           0.0033175,           0.0033175
                  29,            0.022344,            0.012096,           0.0049785,              0.8404,             0.86416,             0.90534,             0.69301,            0.017762,           0.0054122,           0.0023463,             0.00307,             0.00307,             0.00307
                  30,            0.021846,            0.011872,           0.0047997,             0.84957,             0.86144,             0.91302,             0.69774,            0.017716,           0.0053296,            0.002342,           0.0028225,           0.0028225,           0.0028225
