               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056831,            0.022935,            0.025626,              0.6715,             0.73006,             0.74715,             0.47079,            0.022675,           0.0064094,           0.0082264,             0.07009,           0.0033234,           0.0033234
                   1,            0.039167,            0.016509,            0.012139,             0.70677,             0.67167,             0.73973,              0.4681,            0.022946,           0.0071858,           0.0092208,            0.039958,           0.0065249,           0.0065249
                   2,            0.036529,            0.016513,            0.011668,             0.60827,              0.5335,             0.54878,             0.27211,            0.029445,           0.0076459,            0.010707,           0.0096942,           0.0095944,           0.0095944
                   3,            0.034476,            0.016467,            0.011146,             0.72008,             0.67144,             0.73772,             0.44157,            0.023515,             0.00674,           0.0053637,            0.009406,            0.009406,            0.009406
                   4,             0.03234,            0.015945,            0.010145,             0.78575,             0.79091,             0.85496,             0.59072,            0.018529,           0.0061067,           0.0045953,            0.009406,            0.009406,            0.009406
                   5,            0.030617,            0.015367,           0.0094399,              0.7886,             0.77155,             0.84214,             0.56277,             0.01999,           0.0062587,           0.0043211,            0.009208,            0.009208,            0.009208
                   6,            0.029526,            0.014947,           0.0090072,             0.85735,               0.885,             0.92491,              0.6823,            0.016389,           0.0050695,           0.0029014,             0.00901,             0.00901,             0.00901
                   7,            0.028935,             0.01477,            0.008336,             0.87606,             0.87832,             0.91926,              0.6775,              0.0162,           0.0052413,           0.0026963,            0.008812,            0.008812,            0.008812
                   8,             0.02839,            0.014516,           0.0081813,             0.85453,                0.86,             0.90793,             0.65959,            0.016644,           0.0053679,           0.0024709,            0.008614,            0.008614,            0.008614
                   9,            0.027665,            0.014259,           0.0078059,             0.83147,             0.83717,             0.89768,             0.65731,            0.016636,           0.0052685,           0.0042151,            0.008416,            0.008416,            0.008416
                  10,            0.027196,            0.014127,           0.0074239,             0.88149,              0.8845,             0.93714,              0.7185,            0.015175,           0.0048755,            0.002485,            0.008218,            0.008218,            0.008218
                  11,            0.026723,            0.014057,           0.0075678,             0.90351,               0.901,             0.94716,             0.73195,            0.014506,           0.0046904,           0.0021638,             0.00802,             0.00802,             0.00802
                  12,            0.026179,              0.0139,            0.007269,             0.90296,             0.91129,              0.9497,              0.7409,             0.01395,           0.0045909,           0.0023898,            0.007822,            0.007822,            0.007822
                  13,            0.026221,              0.0137,           0.0069401,              0.8813,             0.90187,              0.9387,             0.72988,            0.014235,           0.0047353,           0.0022509,            0.007624,            0.007624,            0.007624
