               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054243,            0.022114,            0.024235,             0.65718,             0.71556,             0.73373,             0.44864,            0.023864,            0.006187,           0.0081307,             0.07006,           0.0033267,           0.0033267
                   1,              0.0378,            0.016232,            0.011722,             0.83976,               0.841,             0.89435,             0.62078,            0.018234,           0.0054628,           0.0041073,            0.039978,           0.0065776,           0.0065776
                   2,            0.036524,            0.016159,            0.011218,             0.61882,               0.564,             0.62118,             0.36153,            0.025292,           0.0081563,            0.011889,           0.0098127,            0.009746,            0.009746
                   3,            0.035696,            0.016758,            0.011451,             0.75508,             0.75998,             0.82966,             0.53607,            0.020368,           0.0068234,           0.0063642,           0.0096288,           0.0096288,           0.0096288
                   4,            0.032931,            0.016017,            0.010101,              0.8078,             0.81605,             0.88542,              0.6113,            0.017835,           0.0059908,           0.0039628,           0.0096288,           0.0096288,           0.0096288
                   5,            0.031014,            0.015466,            0.009567,              0.8385,              0.8495,             0.90154,             0.63328,            0.017142,           0.0058457,           0.0034371,            0.009505,            0.009505,            0.009505
                   6,            0.030158,             0.01528,           0.0094522,              0.8675,             0.88283,             0.92638,              0.6756,            0.016182,           0.0051465,            0.002959,           0.0093813,           0.0093813,           0.0093813
                   7,            0.029555,            0.015027,           0.0085698,             0.84469,             0.85344,             0.90923,             0.66102,            0.016318,           0.0053559,           0.0029986,           0.0092575,           0.0092575,           0.0092575
                   8,            0.028716,              0.0147,           0.0085433,             0.84195,             0.86282,             0.90809,             0.66942,            0.016166,           0.0053015,           0.0033526,           0.0091337,           0.0091337,           0.0091337
                   9,            0.028347,            0.014447,           0.0080727,             0.85714,             0.85584,             0.91418,             0.67757,            0.016046,           0.0051507,           0.0033088,             0.00901,             0.00901,             0.00901
                  10,            0.027673,            0.014384,           0.0079401,             0.89106,              0.8921,             0.93781,             0.70262,            0.015518,           0.0049556,           0.0023432,           0.0088863,           0.0088863,           0.0088863
                  11,             0.02748,            0.014362,           0.0080571,             0.86136,             0.88281,             0.93481,             0.71602,             0.01445,           0.0049511,           0.0029447,           0.0087625,           0.0087625,           0.0087625
                  12,            0.026689,            0.014082,           0.0073259,             0.88271,             0.89006,             0.93803,             0.71283,             0.01471,           0.0048572,           0.0024774,           0.0086388,           0.0086388,           0.0086388
                  13,            0.026981,            0.013968,           0.0073649,             0.89702,             0.90572,             0.94813,             0.73223,              0.0142,           0.0047204,            0.002235,            0.008515,            0.008515,            0.008515
                  14,            0.026703,            0.013958,             0.00738,             0.91087,              0.9126,             0.95347,             0.73785,            0.014198,            0.004557,           0.0019873,           0.0083913,           0.0083913,           0.0083913
                  15,            0.026156,            0.013762,           0.0071008,             0.88117,             0.90101,             0.93932,             0.72646,            0.014041,           0.0046475,           0.0026405,           0.0082675,           0.0082675,           0.0082675
                  16,            0.026103,            0.013583,           0.0073699,              0.9072,             0.90959,             0.95339,             0.74149,            0.013789,           0.0045767,           0.0021432,           0.0081437,           0.0081437,           0.0081437
                  17,            0.025726,            0.013699,           0.0072026,             0.88868,             0.89839,             0.94695,             0.73462,            0.013869,           0.0046293,           0.0021666,             0.00802,             0.00802,             0.00802
                  18,            0.025663,            0.013516,           0.0070699,             0.90144,             0.91661,              0.9553,             0.75396,            0.013646,           0.0044917,           0.0017822,           0.0078963,           0.0078963,           0.0078963
                  19,            0.025347,            0.013557,           0.0069152,             0.91497,             0.91843,             0.95877,             0.75989,            0.013174,           0.0043662,            0.002127,           0.0077725,           0.0077725,           0.0077725
                  20,            0.025436,            0.013441,           0.0069986,             0.91126,             0.91561,             0.95914,             0.76128,            0.013004,           0.0043642,           0.0019208,           0.0076488,           0.0076488,           0.0076488
                  21,            0.025023,            0.013285,           0.0066594,             0.92863,             0.91936,             0.96284,             0.76698,            0.013138,           0.0042755,           0.0017419,            0.007525,            0.007525,            0.007525
                  22,            0.024915,            0.013423,           0.0067755,             0.91635,             0.91895,             0.95939,             0.76996,             0.01297,           0.0042985,           0.0019657,           0.0074013,           0.0074013,           0.0074013
                  23,            0.024543,            0.013103,           0.0064053,             0.91155,             0.92201,             0.95889,             0.76821,              0.0129,           0.0042879,            0.002059,           0.0072775,           0.0072775,           0.0072775
                  24,             0.02454,             0.01321,           0.0065343,              0.9284,               0.923,             0.96472,             0.77616,            0.012814,           0.0041749,           0.0019736,           0.0071538,           0.0071538,           0.0071538
                  25,            0.024723,            0.013097,           0.0065336,             0.92081,             0.93017,             0.96634,             0.77934,            0.012856,           0.0041719,           0.0017256,             0.00703,             0.00703,             0.00703
                  26,            0.024182,            0.013226,           0.0067256,             0.91883,              0.9175,             0.96117,             0.77594,            0.012747,           0.0042207,           0.0021033,           0.0069063,           0.0069063,           0.0069063
                  27,            0.024126,            0.012944,           0.0063285,             0.92101,             0.92205,             0.96326,             0.78528,            0.012585,           0.0041343,           0.0019745,           0.0067825,           0.0067825,           0.0067825
                  28,            0.024087,            0.013075,           0.0063616,             0.92154,             0.92983,             0.96371,             0.78367,            0.012231,           0.0040952,           0.0020327,           0.0066587,           0.0066587,           0.0066587
                  29,            0.023956,            0.012903,           0.0059077,             0.92797,             0.92126,             0.96643,             0.79096,              0.0124,           0.0040828,           0.0018812,            0.006535,            0.006535,            0.006535
                  30,            0.024022,            0.013071,           0.0062484,             0.92757,             0.92932,             0.96905,             0.79205,            0.012279,           0.0040525,           0.0018074,           0.0064112,           0.0064112,           0.0064112
                  31,            0.023683,            0.012798,           0.0062281,              0.9346,              0.9305,             0.96826,              0.7914,            0.012233,            0.004027,           0.0016107,           0.0062875,           0.0062875,           0.0062875
                  32,            0.023443,            0.012742,            0.005833,             0.92722,              0.9304,             0.96881,             0.79524,            0.012186,           0.0040119,           0.0017714,           0.0061637,           0.0061637,           0.0061637
                  33,            0.023285,            0.012728,           0.0060534,             0.93597,             0.92933,             0.96825,             0.79596,            0.012191,           0.0040054,           0.0016362,             0.00604,             0.00604,             0.00604
                  34,            0.023628,             0.01271,           0.0060613,             0.92311,              0.9365,             0.96763,             0.79475,            0.011942,           0.0040117,           0.0016245,           0.0059163,           0.0059163,           0.0059163
                  35,            0.023314,            0.012688,            0.005925,             0.93364,             0.92772,             0.96803,             0.79583,            0.012042,           0.0039704,           0.0015803,           0.0057925,           0.0057925,           0.0057925
                  36,            0.023154,            0.012658,           0.0060054,             0.93651,             0.93023,             0.96914,             0.80155,            0.011808,           0.0039439,           0.0016704,           0.0056688,           0.0056688,           0.0056688
                  37,            0.022873,            0.012572,           0.0056199,             0.93265,             0.93557,              0.9697,              0.8011,            0.011803,           0.0039408,           0.0017528,            0.005545,            0.005545,            0.005545
                  38,            0.022777,            0.012632,           0.0056898,             0.92801,              0.9365,             0.97117,             0.80434,            0.011806,           0.0039245,           0.0016902,           0.0054212,           0.0054212,           0.0054212
                  39,            0.022674,            0.012486,           0.0055692,             0.92498,             0.93761,             0.97132,             0.80498,            0.011755,           0.0039182,           0.0017934,           0.0052975,           0.0052975,           0.0052975
                  40,            0.022599,            0.012511,           0.0055485,             0.93308,             0.93667,             0.97088,             0.80672,            0.011619,           0.0038899,           0.0018608,           0.0051737,           0.0051737,           0.0051737
                  41,            0.022529,            0.012275,           0.0056374,             0.93742,             0.93192,             0.97043,             0.80547,            0.011756,           0.0038936,           0.0017438,             0.00505,             0.00505,             0.00505
                  42,            0.022689,            0.012415,           0.0056047,             0.93944,             0.93167,             0.97171,             0.80691,            0.011756,           0.0038703,           0.0016437,           0.0049263,           0.0049263,           0.0049263
                  43,            0.022354,            0.012066,           0.0054671,             0.93297,             0.93655,             0.97144,             0.80783,            0.011698,           0.0038901,           0.0017075,           0.0048025,           0.0048025,           0.0048025
                  44,            0.022309,            0.012244,           0.0056478,             0.93216,             0.94027,             0.97283,             0.80935,            0.011684,            0.003867,           0.0016593,           0.0046788,           0.0046788,           0.0046788
                  45,            0.021947,            0.012114,           0.0053028,              0.9397,              0.9324,             0.97268,             0.80903,            0.011623,           0.0038612,           0.0016819,            0.004555,            0.004555,            0.004555
                  46,            0.021743,            0.012158,           0.0054893,             0.93861,             0.93329,             0.97332,             0.81104,            0.011641,           0.0038407,           0.0017254,           0.0044313,           0.0044313,           0.0044313
                  47,            0.021909,            0.012009,           0.0051297,             0.94054,             0.93428,             0.97387,             0.81273,            0.011579,           0.0038289,           0.0016914,           0.0043075,           0.0043075,           0.0043075
                  48,            0.021793,            0.011979,           0.0050953,             0.94158,             0.93365,             0.97388,              0.8136,            0.011516,            0.003818,           0.0017045,           0.0041837,           0.0041837,           0.0041837
                  49,            0.021679,            0.012014,           0.0050545,             0.94096,             0.93445,             0.97399,             0.81557,            0.011405,           0.0038157,           0.0016841,             0.00406,             0.00406,             0.00406
                  50,            0.021638,            0.011957,           0.0051027,             0.94175,             0.93473,             0.97466,             0.81602,            0.011371,           0.0038106,           0.0016574,           0.0039362,           0.0039362,           0.0039362
                  51,            0.021487,            0.011915,            0.005188,              0.9387,                0.94,             0.97465,             0.81503,            0.011368,           0.0038133,           0.0015998,           0.0038125,           0.0038125,           0.0038125
                  52,            0.021099,            0.011856,            0.005052,             0.93818,             0.94072,             0.97496,             0.81603,            0.011386,           0.0037972,           0.0015589,           0.0036888,           0.0036888,           0.0036888
                  53,            0.021307,            0.011805,           0.0048565,             0.94164,              0.9395,             0.97513,             0.81742,            0.011366,           0.0037869,           0.0015642,            0.003565,            0.003565,            0.003565
                  54,            0.021047,            0.011714,           0.0047522,             0.94629,             0.93933,             0.97544,             0.81894,            0.011316,           0.0037792,           0.0015738,           0.0034413,           0.0034413,           0.0034413
                  55,            0.020984,            0.011654,            0.005047,             0.94672,             0.93888,             0.97536,             0.81894,            0.011299,           0.0037743,           0.0015871,           0.0033175,           0.0033175,           0.0033175
                  56,            0.020817,            0.011589,            0.004747,              0.9448,             0.94002,             0.97515,             0.81995,            0.011278,           0.0037673,           0.0016038,           0.0031938,           0.0031938,           0.0031938
                  57,            0.020971,            0.011771,            0.004838,             0.94657,             0.93814,             0.97515,             0.82017,            0.011268,           0.0037705,           0.0016312,             0.00307,             0.00307,             0.00307
