               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.050516,            0.020833,            0.021464,             0.75064,             0.78631,             0.81343,             0.44495,            0.022988,            0.005918,           0.0058384,            0.070045,           0.0033283,           0.0033283
                   1,            0.035725,            0.015387,            0.010288,             0.61208,             0.63699,             0.64223,             0.37159,            0.025099,           0.0070866,           0.0070521,            0.039979,           0.0065957,           0.0065957
                   2,            0.033434,            0.015727,            0.010122,             0.42178,              0.4238,             0.36298,             0.17087,             0.03006,            0.010056,           0.0072793,           0.0098471,           0.0097971,           0.0097971
                   3,             0.03217,            0.015654,           0.0097207,             0.78902,             0.81291,             0.86052,             0.59245,            0.018909,           0.0057952,           0.0032386,            0.009703,            0.009703,            0.009703
                   4,            0.030108,            0.014966,            0.008976,             0.79662,             0.83377,             0.88446,             0.62045,            0.017209,           0.0056432,           0.0029155,            0.009703,            0.009703,            0.009703
                   5,            0.029002,            0.014604,           0.0081988,             0.83576,             0.85402,             0.90281,             0.65983,             0.01572,           0.0051638,           0.0022993,            0.009604,            0.009604,            0.009604
                   6,            0.027959,            0.014297,           0.0077764,             0.82864,             0.84511,             0.89339,              0.6533,            0.016085,           0.0052537,           0.0023725,            0.009505,            0.009505,            0.009505
                   7,            0.027499,            0.014084,           0.0076405,             0.83846,             0.86404,              0.9172,             0.69302,            0.015376,           0.0050001,           0.0023304,            0.009406,            0.009406,            0.009406
                   8,            0.026992,            0.013777,           0.0075169,             0.86617,             0.88128,             0.92554,             0.69792,            0.015016,           0.0047873,           0.0020147,            0.009307,            0.009307,            0.009307
                   9,            0.026727,            0.013656,           0.0072089,             0.86851,             0.87524,             0.93301,             0.71076,            0.014673,           0.0048757,           0.0021329,            0.009208,            0.009208,            0.009208
                  10,            0.026083,            0.013521,           0.0072022,             0.87221,             0.89128,             0.93624,             0.72647,            0.014233,           0.0046402,           0.0017784,            0.009109,            0.009109,            0.009109
                  11,            0.025943,            0.013362,           0.0070115,             0.89373,             0.89221,             0.94512,             0.74065,            0.014107,           0.0044529,           0.0016819,             0.00901,             0.00901,             0.00901
                  12,            0.025714,            0.013413,           0.0072254,             0.88279,             0.90079,              0.9419,             0.73366,            0.013943,           0.0044317,           0.0017367,            0.008911,            0.008911,            0.008911
                  13,            0.025585,            0.013391,           0.0066625,              0.8792,             0.89982,             0.94357,             0.73875,            0.013611,           0.0044269,           0.0016639,            0.008812,            0.008812,            0.008812
                  14,            0.025506,            0.013327,           0.0066597,              0.8881,             0.89809,             0.94632,             0.74628,            0.013611,           0.0043983,           0.0016201,            0.008713,            0.008713,            0.008713
                  15,            0.025202,            0.013221,           0.0068196,             0.89108,             0.90254,              0.9481,             0.75104,            0.013415,           0.0043424,           0.0015108,            0.008614,            0.008614,            0.008614
                  16,            0.025154,            0.013113,           0.0066746,             0.89436,             0.90165,             0.94817,             0.75283,            0.013325,           0.0043172,           0.0014917,            0.008515,            0.008515,            0.008515
                  17,            0.024993,            0.013145,            0.006791,             0.89522,             0.90203,             0.94869,              0.7549,            0.013189,           0.0042964,           0.0014902,            0.008416,            0.008416,            0.008416
                  18,            0.024719,            0.013124,           0.0066308,             0.88475,             0.90618,             0.94826,             0.75525,            0.013101,            0.004307,           0.0014931,            0.008317,            0.008317,            0.008317
                  19,            0.024362,            0.013024,           0.0064008,              0.8897,             0.90989,             0.95138,             0.76069,            0.012976,           0.0042401,           0.0014212,            0.008218,            0.008218,            0.008218
                  20,            0.024888,            0.012898,           0.0065321,             0.89569,             0.90761,             0.95234,             0.76251,            0.012942,           0.0042032,           0.0014326,            0.008119,            0.008119,            0.008119
                  21,            0.024526,            0.012813,           0.0063964,             0.89655,              0.9108,             0.95297,             0.76384,             0.01295,           0.0041827,           0.0014402,             0.00802,             0.00802,             0.00802
                  22,            0.024264,            0.012745,           0.0062333,              0.8991,              0.9072,             0.95289,             0.76532,            0.012973,           0.0041718,           0.0014363,            0.007921,            0.007921,            0.007921
                  23,            0.024418,            0.012779,            0.006257,             0.90178,             0.90712,             0.95368,             0.76702,             0.01295,           0.0041614,           0.0014232,            0.007822,            0.007822,            0.007822
                  24,            0.024193,            0.012724,           0.0060736,              0.8984,              0.9118,             0.95399,             0.76863,            0.012925,           0.0041526,           0.0014102,            0.007723,            0.007723,            0.007723
                  25,            0.024205,            0.012729,           0.0063833,             0.90176,             0.90915,             0.95362,             0.76825,            0.012874,           0.0041489,           0.0014098,            0.007624,            0.007624,            0.007624
                  26,            0.024035,            0.012658,           0.0060819,              0.8973,             0.91316,             0.95379,             0.76862,            0.012825,           0.0041435,           0.0014032,            0.007525,            0.007525,            0.007525
                  27,            0.023979,             0.01258,           0.0062453,             0.89531,             0.91458,             0.95418,             0.76992,            0.012789,           0.0041358,           0.0014065,            0.007426,            0.007426,            0.007426
                  28,            0.023904,            0.012645,           0.0061765,             0.89619,             0.91514,             0.95452,             0.77086,            0.012761,           0.0041268,           0.0014078,            0.007327,            0.007327,            0.007327
                  29,            0.024035,            0.012654,           0.0060595,             0.89942,             0.91304,             0.95463,             0.77201,             0.01272,           0.0041194,           0.0014047,            0.007228,            0.007228,            0.007228
                  30,             0.02374,            0.012531,           0.0061425,             0.89994,               0.913,             0.95482,             0.77289,            0.012692,           0.0041113,           0.0013968,            0.007129,            0.007129,            0.007129
                  31,            0.023458,            0.012495,           0.0059763,             0.90055,             0.91434,             0.95526,             0.77396,             0.01266,           0.0041002,           0.0013875,             0.00703,             0.00703,             0.00703
