,#롱슬리브,#긴팔티,#긴팔티셔츠,#티셔츠,#긴팔,#롱슬리브티,#긴소매,#오버핏,#여자긴팔티,#그래픽티셔츠,class
0,0,0,0,0,0,0,0,0,0,0,3
1,1,0,1,1,0,0,0,0,0,1,1
2,1,1,1,1,0,0,0,0,0,0,2
3,1,1,1,0,1,1,0,0,0,0,4
4,0,0,1,0,1,1,1,0,0,0,4
5,0,1,1,0,0,0,0,0,0,0,4
6,1,1,0,1,0,1,0,0,0,0,2
7,0,0,0,0,0,0,0,0,0,0,3
8,0,0,0,0,0,1,1,0,0,0,3
9,0,1,1,1,0,1,0,0,0,0,2
10,1,1,1,0,1,1,0,0,0,0,4
11,1,0,1,1,0,0,0,0,0,1,1
12,1,0,0,1,0,1,1,1,0,0,1
13,0,0,0,0,0,0,0,0,0,0,3
14,1,0,1,1,0,0,0,1,0,0,1
15,0,0,0,0,0,0,0,0,0,0,3
16,0,0,0,1,1,1,0,0,0,0,3
17,0,1,0,1,0,0,0,0,0,0,2
18,1,0,1,0,0,0,0,1,0,0,1
19,1,0,1,0,1,0,1,0,0,0,1
20,1,1,1,1,1,1,0,0,0,0,0
21,1,1,1,0,1,1,1,0,0,1,4
22,0,0,1,0,1,1,1,0,0,0,4
23,0,0,0,0,0,0,0,0,0,0,3
24,1,1,0,0,0,0,0,1,0,0,1
25,0,0,0,1,0,0,0,0,0,0,3
26,1,1,1,1,0,0,0,0,1,0,2
27,1,1,1,1,0,1,1,0,0,0,0
28,1,1,0,1,1,0,0,0,0,0,0
29,0,1,0,1,0,0,1,0,0,0,2
30,0,1,1,1,1,0,0,0,1,0,0
31,1,1,1,0,1,1,1,0,0,0,4
32,1,0,1,0,0,0,0,0,0,0,1
33,0,0,0,0,0,0,0,0,0,0,3
34,0,0,1,1,0,0,0,0,0,0,3
35,1,1,1,1,1,0,0,0,0,0,0
36,0,0,0,0,0,0,0,1,1,0,3
37,0,0,1,0,1,1,0,0,0,0,4
38,1,1,0,1,0,0,0,0,0,0,2
39,1,1,0,1,1,0,0,0,0,0,0
40,1,0,0,0,1,0,0,0,0,1,1
41,1,1,1,0,1,0,0,0,0,0,4
42,1,1,1,1,1,0,1,1,0,0,0
43,1,0,0,0,0,0,0,1,0,0,1
44,1,1,0,1,0,0,0,1,0,0,2
45,0,0,1,1,0,0,0,0,0,0,3
46,1,1,0,0,0,0,0,0,0,0,1
47,1,1,1,0,0,1,0,0,0,0,4
48,0,1,0,1,0,0,0,1,0,0,2
49,1,1,1,0,0,1,0,1,0,1,4
50,1,1,1,1,1,1,0,0,0,0,0
51,1,1,1,0,1,1,0,0,0,0,4
52,0,1,1,0,1,0,1,0,1,0,4
53,1,0,1,1,0,0,0,0,0,1,1
54,1,0,0,0,0,0,0,0,0,0,1
55,0,1,1,0,0,0,1,0,0,0,4
56,1,1,1,0,0,0,0,0,0,0,4
57,0,0,0,1,0,0,0,0,0,0,3
58,1,0,0,0,1,0,0,0,0,1,1
59,1,1,0,0,1,1,1,0,1,1,4
60,1,0,1,0,0,1,0,0,1,0,1
61,0,1,1,1,0,1,0,0,1,0,2
62,1,0,1,0,0,1,0,0,0,0,1
63,0,0,1,1,0,0,0,0,0,0,3
64,1,0,1,1,1,1,0,1,0,0,0
65,0,0,0,0,0,0,0,0,0,0,3
66,1,1,1,1,1,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,3
68,0,0,0,0,0,0,0,0,0,0,3
69,1,1,0,1,0,0,0,1,0,0,2
70,0,1,1,1,0,0,0,0,1,0,2
71,1,1,0,0,0,0,0,0,0,0,1
72,0,0,0,0,1,0,0,0,0,0,3
73,1,1,0,0,1,1,0,0,1,0,4
74,1,0,0,0,0,0,0,0,0,0,1
75,1,1,1,0,1,0,0,0,0,0,4
76,1,0,1,1,1,1,0,0,1,1,0
77,1,0,1,0,0,1,0,0,0,0,1
78,0,0,0,1,0,0,0,0,0,0,3
79,0,0,1,0,0,0,0,0,1,0,3
80,1,1,1,0,1,0,1,0,0,0,4
81,1,1,1,0,1,0,1,0,0,0,4
82,1,1,1,0,0,1,0,1,0,0,4
83,1,0,0,0,0,0,0,0,0,0,1
84,1,1,1,1,1,1,1,0,0,0,0
85,1,1,0,0,0,0,0,0,0,0,1
86,0,0,1,0,1,1,1,0,1,0,4
87,0,0,0,1,0,0,0,0,0,0,3
88,0,0,0,0,0,0,0,0,0,0,3
89,0,0,0,0,0,0,0,0,0,0,3
90,0,1,1,0,1,1,0,0,0,0,4
91,0,0,0,0,0,0,0,0,0,0,3
92,1,0,1,0,1,1,0,0,1,1,4
93,1,0,0,0,1,0,1,0,1,0,1
94,1,1,1,0,1,0,0,0,0,0,4
95,0,1,1,0,0,1,0,0,0,0,4
96,1,1,1,0,1,0,0,0,0,0,4
97,0,0,0,0,0,0,0,0,0,0,3
98,0,0,0,0,1,0,0,0,0,0,3
99,0,0,0,0,0,0,0,0,0,0,3
100,1,1,1,1,0,1,0,0,1,0,0
101,1,1,1,0,1,0,0,0,0,0,4
102,0,0,1,0,0,1,0,0,0,0,3
103,1,0,1,0,0,0,0,0,1,0,1
104,0,1,1,0,1,0,0,1,0,0,4
105,1,1,1,0,0,1,0,0,0,0,4
106,1,1,1,1,1,0,0,1,0,0,0
107,0,1,0,0,0,0,0,0,0,0,3
108,0,0,1,0,1,1,0,1,0,0,4
109,1,0,0,0,0,1,0,0,0,0,1
110,1,1,1,1,1,0,0,0,0,0,0
111,1,0,1,0,0,0,0,0,0,1,1
112,1,1,1,0,0,0,0,0,0,0,4
113,1,0,1,1,1,0,0,0,0,0,0
114,0,0,1,1,0,0,0,0,0,0,3
115,0,0,0,0,0,0,0,0,0,0,3
116,1,0,0,1,0,0,0,0,0,0,1
117,1,0,0,0,0,0,0,0,0,0,1
118,1,1,1,1,1,0,0,0,1,0,0
119,0,0,1,1,0,0,0,0,0,0,3
120,0,0,0,0,0,0,0,0,0,0,3
121,1,1,1,0,1,0,0,0,0,0,4
122,0,0,0,0,0,0,0,0,0,0,3
123,1,0,0,0,0,0,1,0,0,0,1
124,1,0,0,0,0,0,0,0,0,0,1
125,1,1,1,1,1,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,3
127,1,1,1,1,1,0,0,1,0,0,0
128,1,1,1,1,0,1,0,0,0,0,0
129,0,1,0,0,0,0,0,0,0,0,3
130,1,0,1,1,1,0,0,1,0,0,0
131,0,0,0,1,0,0,0,0,0,0,3
132,1,1,1,1,1,0,0,0,1,0,0
133,0,0,0,0,0,0,0,0,0,0,3
134,0,0,0,0,0,0,0,0,0,0,3
135,1,1,1,1,1,0,0,0,0,0,0
136,1,1,1,0,1,0,0,0,0,0,4
137,1,0,1,0,0,1,1,0,0,1,1
138,1,1,0,0,0,0,0,1,0,0,1
139,1,1,0,0,1,0,1,1,0,0,4
140,0,0,0,0,0,0,0,0,0,0,3
141,0,1,1,1,1,1,1,0,1,0,0
142,0,0,0,0,0,0,1,0,1,0,3
143,1,1,1,1,1,0,0,0,0,0,0
144,1,1,1,1,1,0,0,0,1,1,0
145,0,0,0,0,0,0,0,0,0,0,3
146,0,0,0,0,0,0,0,0,0,0,3
147,1,0,0,1,0,0,0,0,0,0,1
148,0,0,0,0,0,0,0,0,0,0,3
149,1,1,1,0,1,0,0,0,0,0,4
150,0,0,1,0,1,0,0,0,0,0,3
151,1,1,1,0,0,1,0,0,0,1,4
152,1,1,1,0,0,1,1,0,0,0,4
153,1,1,1,1,1,1,0,0,0,0,0
154,1,0,1,0,1,0,0,0,0,0,1
155,0,1,1,0,0,1,0,1,0,0,4
156,1,1,1,1,1,1,0,0,0,0,0
157,1,1,0,1,1,0,0,0,0,0,0
158,0,1,0,0,0,1,0,0,0,0,3
159,1,0,0,0,0,1,0,1,0,1,1
160,0,1,0,0,0,0,0,0,0,0,3
161,0,0,0,0,0,1,0,0,0,0,3
162,0,0,1,0,1,0,0,0,0,0,3
163,0,0,1,0,0,0,0,0,0,0,3
164,1,1,1,1,1,0,0,0,0,0,0
165,1,1,1,0,0,1,0,1,0,1,4
166,1,0,0,0,0,1,0,1,0,0,1
167,1,0,0,0,0,0,1,0,0,0,1
168,1,1,1,1,1,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,3
170,0,0,0,0,0,0,0,0,0,0,3
171,0,1,0,1,0,0,0,0,0,0,2
172,1,1,1,1,1,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,3
174,0,0,0,1,0,0,0,0,0,0,3
175,1,1,1,1,1,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,3
177,0,0,1,0,0,1,0,0,0,0,3
178,0,1,0,1,0,0,0,0,0,0,2
179,0,1,1,1,1,1,0,0,0,0,0
180,1,1,1,1,1,0,0,0,0,0,0
181,1,1,1,1,0,0,1,0,1,0,2
182,0,1,1,0,0,0,0,0,0,1,4
183,1,1,1,1,1,1,0,0,0,0,0
184,1,1,1,1,1,0,1,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,3
186,0,0,0,0,0,0,0,0,0,0,3
187,0,0,0,0,0,0,0,0,0,0,3
188,0,0,1,0,0,0,0,1,0,0,3
189,1,1,0,1,0,0,0,0,0,0,2
190,1,0,0,0,0,0,0,0,0,0,1
191,0,1,1,1,1,1,0,0,0,0,0
192,0,0,1,1,1,0,0,0,0,0,0
193,0,1,0,0,0,0,0,0,0,0,3
194,1,1,1,0,0,0,0,0,0,0,4
195,1,1,1,1,1,1,1,0,0,0,0
196,1,1,1,0,0,1,0,1,0,1,4
197,0,1,0,0,0,0,0,0,0,0,3
198,1,0,0,1,0,1,0,0,0,0,1
199,1,0,1,1,0,0,1,0,0,0,1
200,1,1,1,0,0,0,0,0,0,0,4
201,0,0,1,0,0,1,1,1,0,0,3
202,1,0,0,0,0,0,0,0,0,0,1
203,0,1,1,1,0,1,0,0,1,0,2
204,0,0,1,0,0,1,0,0,0,0,3
205,0,0,0,0,0,0,0,0,0,0,3
206,1,1,1,0,1,1,0,0,0,0,4
207,1,0,0,0,0,0,0,0,0,0,1
208,0,0,1,0,0,0,0,0,1,0,3
209,0,0,0,0,0,0,0,1,0,0,3
210,1,0,0,0,0,0,0,0,0,0,1
211,1,1,1,1,0,1,1,0,0,0,0
212,1,1,1,0,1,0,0,0,0,0,4
213,1,0,1,0,0,0,0,0,0,0,1
214,1,1,1,0,0,1,0,0,1,0,4
215,1,1,0,0,0,0,0,0,0,0,1
216,1,1,1,0,1,1,0,0,0,0,4
217,1,1,1,1,0,1,0,1,0,0,2
218,1,1,0,1,1,1,0,0,0,0,0
219,1,1,1,0,0,0,0,0,0,0,4
220,1,0,0,0,0,0,0,0,0,0,1
221,0,0,1,1,1,0,0,1,0,0,0
222,0,1,0,1,0,0,0,0,1,0,2
223,0,0,1,0,1,1,0,1,0,0,4
224,0,0,0,0,0,0,0,0,0,0,3
225,1,0,1,1,1,1,0,0,0,1,0
226,0,1,0,1,0,0,0,1,0,0,2
227,0,0,1,0,0,1,0,0,0,0,3
228,1,1,1,0,1,0,0,0,0,0,4
229,0,0,0,0,0,0,0,0,0,0,3
230,0,1,0,0,1,0,0,0,1,0,3
231,1,0,1,0,0,0,0,1,0,0,1
232,0,1,0,1,0,0,0,1,0,0,2
233,1,1,1,0,0,1,0,0,0,0,4
234,1,1,1,0,0,0,0,0,0,0,4
