,#긴팔티,#롱슬리브,#롱슬리브티,#긴팔티셔츠,#긴팔,#티셔츠,#쭉티,#아울렛,#오버핏티셔츠,#레이어드
0,1,1,1,1,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0
2,0,1,1,1,0,0,0,0,0,0
3,0,0,0,1,0,1,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,1,1,1,1,1,0,1,1,1,0
6,1,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,1,1,0,1,0,1,0,1,1
10,0,0,0,0,0,0,0,0,0,0
11,1,1,1,0,1,0,1,0,1,1
12,1,1,0,1,0,1,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,1,0,0
15,0,0,0,0,0,0,0,1,0,0
16,0,0,0,0,0,0,0,0,0,0
17,1,1,0,0,1,0,1,0,1,1
18,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,1,0,1,0,0
20,1,1,1,1,1,1,0,0,0,0
21,1,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
23,1,0,1,0,0,1,0,0,0,0
24,1,1,1,1,1,0,0,0,0,0
25,1,1,1,1,0,0,1,0,0,1
26,0,0,0,0,0,0,0,0,0,0
